Ticker,Sector
RELIANCE.NS,Energy
TCS.NS,IT
HDFCBANK.NS,Financials
INFY.NS,IT
ICICIBANK.NS,Financials
HINDUNILVR.NS,Consumer Goods
SBIN.NS,Financials
BHARTIARTL.NS,Telecom
ITC.NS,Consumer Goods
KOTAKBANK.NS,Financials
LT.NS,Construction
AXISBANK.NS,Financials
TATAMOTORS.NS,Automobile
MARUTI.NS,Automobile
ULTRACEMCO.NS,Cement
ASIANPAINT.NS,Consumer Goods
SUNPHARMA.NS,Pharma
TITAN.NS,Consumer Goods
BAJFINANCE.NS,Financials
HCLTECH.NS,IT
WIPRO.NS,IT
NTPC.NS,Energy
POWERGRID.NS,Energy
ONGC.NS,Energy
M&M.NS,Automobile
TATASTEEL.NS,Metals
JSWSTEEL.NS,Metals
ADANIENT.NS,Metals
ADANIPORTS.NS,Infrastructure
COALINDIA.NS,Energy
BPCL.NS,Energy
GRASIM.NS,Cement
HEROMOTOCO.NS,Automobile
BAJAJ-AUTO.NS,Automobile
EICHERMOT.NS,Automobile
DRREDDY.NS,Pharma
CIPLA.NS,Pharma
DIVISLAB.NS,Pharma
APOLLOHOSP.NS,Healthcare
BRITANNIA.NS,Consumer Goods
NESTLEIND.NS,Consumer Goods
TATACONSUM.NS,Consumer Goods
INDUSINDBK.NS,Financials
BAJAJFINSV.NS,Financials
HDFCLIFE.NS,Financials
SBILIFE.NS,Financials
UPL.NS,Chemicals
TECHM.NS,IT
LTIM.NS,IT
HINDALCO.NS,Metals
